"returns","datetime","v","vw","o","c","h","l","t","n","ema_fast","ema_slow","rsi","dn","mavg","up","atr","macd","signal"
0.000362871497653419,"2022-03-09 09:00:00",1636.44897959184,160.326920408163,160.28612244898,160.344285714286,160.358367346939,160.263469387755,1646818049387.76,44.3877551020408,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.30170301841465e-05,"2022-03-09 10:00:00",1774.06382978723,161.102514893617,161.103191489362,161.097872340426,161.123617021277,161.077446808511,1646821757872.34,39.5744680851064,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.78107689841057e-05,"2022-03-09 11:00:00",1469.13157894737,160.856931578947,160.861578947368,160.866052631579,160.881842105263,160.843421052632,1646825535789.47,29.8157894736842,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.27358166794659e-05,"2022-03-09 12:00:00",3933.16949152542,160.509362711864,160.504237288136,160.509491525424,160.550169491525,160.472542372881,1646828992881.36,72.0508474576271,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.000335553309512451,"2022-03-09 13:00:00",16515.9666666667,160.973586666667,160.938163333333,160.992166666667,161.046168333333,160.894581666667,1646832570000,124.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.8457385013242e-05,"2022-03-09 14:00:00",222857.816666667,160.76634,160.740691666667,160.73451,160.918216666667,160.572461666667,1646836170000,2219.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.00015298927469886,"2022-03-09 15:00:00",232831.533333333,161.356161666667,161.35118,161.375865,161.481126666667,161.225681666667,1646839770000,2190.08333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-4.48199962416708e-05,"2022-03-09 16:00:00",162773.183333333,161.561293333333,161.572228333333,161.564986666667,161.653443333333,161.472498333333,1646843370000,1387.15,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.11802530081295e-05,"2022-03-09 17:00:00",125734.55,162.214938333333,162.204486666667,162.212788333333,162.287278333333,162.137386666667,1646846970000,1216.73333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.96612304469125e-05,"2022-03-09 18:00:00",117013.466666667,162.100091666667,162.1102,162.095665,162.180995,162.022836666667,1646850570000,1135.23333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.30559563438564e-05,"2022-03-09 19:00:00",169116.116666667,162.423276666667,162.448306666667,162.45855,162.534816666667,162.372591666667,1646854170000,1275.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.24663283019033e-05,"2022-03-09 20:00:00",265245.816666667,162.993611666667,162.989378333333,162.99467,163.080993333333,162.901908333333,1646857770000,2377.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.58967591051875e-05,"2022-03-09 21:00:00",58210.3793103448,162.906074137931,162.898493103448,162.88775862069,162.951898275862,162.849744827586,1646861360689.66,70.6206896551724,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.05202941849608e-05,"2022-03-09 22:00:00",1940.47272727273,162.441238181818,162.499885454545,162.496550909091,162.513301818182,162.484245454545,1646864964000,29.2545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA
-6.62536902813702e-05,"2022-03-09 23:00:00",2125.57407407407,162.079605555556,162.087407407407,162.076668518519,162.102037037037,162.06037037037,1646868527777.78,19.9444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.45041915667038e-05,"2022-03-10 00:00:00",1028.75,162.114409090909,162.110677272727,162.121134090909,162.130679545455,162.097722727273,1646872107272.73,13.9772727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA
-7.78332634602343e-05,"2022-03-10 09:00:00",1724.14285714286,161.506282857143,161.517428571429,161.504857142857,161.542285714286,161.470285714286,1646904570857.14,39.6285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.000233575766407073,"2022-03-10 10:00:00",1053.86206896552,160.904231034483,160.916551724138,160.878965517241,160.917586206897,160.873103448276,1646908268275.86,31.7931034482759,NA,NA,NA,NA,NA,NA,NA,NA,NA
-8.83401407207446e-05,"2022-03-10 11:00:00",1197.05555555556,160.361247222222,160.365,160.350833333333,160.378611111111,160.340277777778,1646911841666.67,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.000114633462286701,"2022-03-10 12:00:00",5298.75,160.437492857143,160.449285714286,160.430892857143,160.489107142857,160.388571428571,1646915365714.29,104.357142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.85532021446583e-05,"2022-03-10 13:00:00",15688.7166666667,160.220073333333,160.211508333333,160.205331666667,160.315503333333,160.144336666667,1646918970000,170.766666666667,161.438090311182,NA,NA,159.701288774095,161.438149614635,163.175010455175,NA,NA,NA
-8.34227293810177e-05,"2022-03-10 14:00:00",261397.1,159.538518333333,159.528865,159.515556666667,159.649326666667,159.421608333333,1646922570000,2613.33333333333,161.263314525317,NA,45.0105835289676,159.538098569521,161.400377697455,163.262656825389,0.450008621092452,NA,NA
-0.000108556357052242,"2022-03-10 15:00:00",224310.433333333,158.1539,158.15134,158.134171666667,158.266351666667,158.035863333333,1646926170000,2366.58333333333,160.978846992713,NA,38.3182589850081,158.938130894746,161.25970230851,163.581273722274,0.499041226437256,NA,NA
